claim,label,evidence
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Loki is the male sibling of Helblindi and Byleistr.,SUPPORTS,
Conquest of the Planet of the Apes is a short.,NOT ENOUGH INFO,
Vincent van Gogh is from Amsterdam.,SUPPORTS,
Chester Bennington is a person.,SUPPORTS,
Chester Bennington is a person.,SUPPORTS,
Chester Bennington is a person.,SUPPORTS,
Chester Bennington is a person.,SUPPORTS,
Chester Bennington is a person.,SUPPORTS,
Chester Bennington is a person.,SUPPORTS,
Inspectah Deck is stateless.,REFUTES,
Tender Mercies is a drama from America.,SUPPORTS,
Cristiano Ronaldo was a professional athlete.,SUPPORTS,
Cristiano Ronaldo was a professional athlete.,SUPPORTS,
Cristiano Ronaldo was a professional athlete.,SUPPORTS,
Cristiano Ronaldo was a professional athlete.,SUPPORTS,
Paul Simon is a person.,SUPPORTS,
Paul Simon is a person.,SUPPORTS,
Paul Simon is a person.,SUPPORTS,
Paul Simon is a person.,SUPPORTS,
Paul Simon is a person.,SUPPORTS,
Baby Driver starred Eiza González.,SUPPORTS,
David Dhawan is a film director.,SUPPORTS,
David Dhawan is a film director.,SUPPORTS,
David Dhawan is a film director.,SUPPORTS,
David Dhawan is a film director.,SUPPORTS,
Nina Simone graduated Juilliard.,NOT ENOUGH INFO,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
The Challenge was a reality game show.,SUPPORTS,
Rumi's influence transcends ethnic divisions.,SUPPORTS,
Rumi's influence transcends ethnic divisions.,SUPPORTS,
Rumi's influence transcends ethnic divisions.,SUPPORTS,
Rumi's influence transcends ethnic divisions.,SUPPORTS,
Rumi's influence transcends ethnic divisions.,SUPPORTS,
Swedish Empire was ruled by Gustavus Adolphus from 1611 to 1632.,SUPPORTS,
Swedish Empire was ruled by Gustavus Adolphus from 1611 to 1632.,SUPPORTS,
"Her was given a wide release on January 10, 2014.",SUPPORTS,
"Her was given a wide release on January 10, 2014.",SUPPORTS,
"Her was given a wide release on January 10, 2014.",SUPPORTS,
"Her was given a wide release on January 10, 2014.",SUPPORTS,
"Her was given a wide release on January 10, 2014.",SUPPORTS,
Las Vegas's population has grown.,SUPPORTS,
Las Vegas's population has grown.,SUPPORTS,
Snowpiercer is co-written by a Bostonian.,NOT ENOUGH INFO,
Gwen Stefani is in an American football league.,NOT ENOUGH INFO,
One type of spread is Vegemite.,SUPPORTS,
The Divergent film series was worked on by Octavia Spencer.,SUPPORTS,
The Divergent film series was worked on by Octavia Spencer.,SUPPORTS,
Ramayanam was produced by M. S. Reddy and directed by Gunasekhar.,SUPPORTS,
Ramayanam was produced by M. S. Reddy and directed by Gunasekhar.,SUPPORTS,
Ramayanam was produced by M. S. Reddy and directed by Gunasekhar.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Man of Steel features the DC Comics character Superman.,SUPPORTS,
Leukemia has to do with a lack of normal blood cells.,SUPPORTS,
Judy Garland did not appear in a courtroom drama film.,REFUTES,
Judy Garland did not appear in a courtroom drama film.,REFUTES,
Clubber Lang was in Arizona.,NOT ENOUGH INFO,
Until Dawn is a game.,SUPPORTS,
Christoph Waltz married on October 4th.,NOT ENOUGH INFO,
Timothy Olyphant was born.,SUPPORTS,
Timothy Olyphant was born.,SUPPORTS,
Telangana contains the city Warangal.,SUPPORTS,
Bonnie Hunt narrated Cheaper by the Dozen.,SUPPORTS,
The Levant was ruled by the House of Lusignan.,SUPPORTS,
The Ten Commandments influence multiple religions.,SUPPORTS,
"The Hangover Part III includes Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, and Ken Jeong, Jeffrey Tambor, Heather Graham, Mike Epps, Melissa McCarthy and John Goodman.",SUPPORTS,
"The Hangover Part III includes Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, and Ken Jeong, Jeffrey Tambor, Heather Graham, Mike Epps, Melissa McCarthy and John Goodman.",SUPPORTS,
Dileep (actor) assisted a kitten.,NOT ENOUGH INFO,
Narendra Modi has been prosecuted.,NOT ENOUGH INFO,
Ariana Grande's second album debuted at number one in the United States when it was released in 2014.,SUPPORTS,
Ted Bundy committed assaults in the seventies.,SUPPORTS,
Ted Bundy committed assaults in the seventies.,SUPPORTS,
Ted Bundy committed assaults in the seventies.,SUPPORTS,
Artemis was the protector of Nazgul.,NOT ENOUGH INFO,
Marcus Rashford's favorite year is 1997.,NOT ENOUGH INFO,
Marcus Rashford's favorite year is 1997.,NOT ENOUGH INFO,
Marcus Rashford's favorite year is 1997.,NOT ENOUGH INFO,
Ethnic Albanians shun the term Albanian diaspora for those living outside southeastern Europe.,NOT ENOUGH INFO,
Chinese people only can be associated with Spain through nationality.,REFUTES,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Schindler's List was released in 1993.,SUPPORTS,
Octavia Spencer worked in the Divergent film series starting in 2012.,NOT ENOUGH INFO,
"Today, elephants are rewarded for entertainment in circuses.",NOT ENOUGH INFO,
Zeus is an angel.,REFUTES,
Zeus is an angel.,REFUTES,
Zeus is an angel.,REFUTES,
Zeus is an angel.,REFUTES,
Zeus is an angel.,REFUTES,
Zeus is an angel.,REFUTES,
Escape from Planet Earth is an American film.,SUPPORTS,
Escape from Planet Earth is an American film.,SUPPORTS,
Venus Williams has won multiple Wimbledons.,SUPPORTS,
Venus Williams has won multiple Wimbledons.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Quentin Tarantino directed a creative work.,SUPPORTS,
Joaquin Phoenix campaigns for In Defense of Animals each fall.,NOT ENOUGH INFO,
Joaquin Phoenix campaigns for In Defense of Animals each fall.,NOT ENOUGH INFO,
Joaquin Phoenix campaigns for In Defense of Animals each fall.,NOT ENOUGH INFO,
The Beatles had Stuart Sutcliffe initially serve as their agent.,REFUTES,
50 First Dates has no comedic elements.,REFUTES,
Dan Martin is a professional BMX biker.,NOT ENOUGH INFO,
A Nightmare on Elm Street was directed by Craven.,SUPPORTS,
A Nightmare on Elm Street was directed by Craven.,SUPPORTS,
Charlize Theron acted in The Burning Plain.,SUPPORTS,
Charlize Theron acted in The Burning Plain.,SUPPORTS,
Maria I of Portugal was Queen of the Algarves and she was successful.,NOT ENOUGH INFO,
International Relations includes communication.,SUPPORTS,
Edgar Award honors the best in television dramas.,NOT ENOUGH INFO,
Star Wars is a franchise based on a film series by a German filmmaker.,NOT ENOUGH INFO,
Star Wars is a franchise based on a film series by a German filmmaker.,NOT ENOUGH INFO,
Jemaine Clement refuses to have anything to do with comedy.,SUPPORTS,
Bermuda is an associate member of the Red Sox.,NOT ENOUGH INFO,
Usain Bolt has competed in a sprint race in track and field in world competitions.,SUPPORTS,
Usain Bolt has competed in a sprint race in track and field in world competitions.,SUPPORTS,
Usain Bolt has competed in a sprint race in track and field in world competitions.,SUPPORTS,
Usain Bolt has competed in a sprint race in track and field in world competitions.,SUPPORTS,
Usain Bolt has competed in a sprint race in track and field in world competitions.,SUPPORTS,
Usain Bolt has competed in a sprint race in track and field in world competitions.,SUPPORTS,
The main successor to the internet was the ARPANET.,REFUTES,
Sarrainodu is an action movie.,SUPPORTS,
Michael Fassbender appeared in a film written by Cormac McCarthy.,NOT ENOUGH INFO,
"Jawbreaker (film) stars an Italian-born American actress, film producer, director and singer.",SUPPORTS,
"Jawbreaker (film) stars an Italian-born American actress, film producer, director and singer.",SUPPORTS,
Tim Rice wrote Joseph and the Amazing Technicolor Dreamcoat with David Gilmour.,NOT ENOUGH INFO,
Tim Rice wrote Joseph and the Amazing Technicolor Dreamcoat with David Gilmour.,NOT ENOUGH INFO,
Kurt Sutter is the creator of Sons of Anarchy.,SUPPORTS,
Kurt Sutter is the creator of Sons of Anarchy.,SUPPORTS,
Kurt Sutter is the creator of Sons of Anarchy.,SUPPORTS,
Kurt Sutter is the creator of Sons of Anarchy.,SUPPORTS,
Kurt Sutter is the creator of Sons of Anarchy.,SUPPORTS,
La La Anthony has a middle name.,SUPPORTS,
Lisa Marie Presley is an American singer.,SUPPORTS,
Kingdom Hearts III is owned by Boyz II Men.,REFUTES,
Kingdom Hearts III is owned by Boyz II Men.,REFUTES,
Kingdom Hearts III is owned by Boyz II Men.,REFUTES,
Kingdom Hearts III is owned by Boyz II Men.,REFUTES,
Kingdom Hearts III is owned by Boyz II Men.,REFUTES,
Kingdom Hearts III is owned by Boyz II Men.,REFUTES,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Keanu Reeves is a film actor.,SUPPORTS,
Dwayne Johnson won the WWF Intercontinental Championship twice.,SUPPORTS,
Heartland is a canadian TV series.,SUPPORTS,
"By the metrics of the RIAA, The Beatles have sold more than any recording artist in America.",SUPPORTS,
The national tree of Bangladesh is the mango.,SUPPORTS,
The national tree of Bangladesh is the mango.,SUPPORTS,
The national tree of Bangladesh is the mango.,SUPPORTS,
The national tree of Bangladesh is the mango.,SUPPORTS,
"There are two major contemporary political parties, and William Jennings Bryan belongs to one of them.",SUPPORTS,
"There are two major contemporary political parties, and William Jennings Bryan belongs to one of them.",SUPPORTS,
Iris Murdoch was a writer.,SUPPORTS,
Iris Murdoch was a writer.,SUPPORTS,
Iris Murdoch was a writer.,SUPPORTS,
Iris Murdoch was a writer.,SUPPORTS,
Iris Murdoch was a writer.,SUPPORTS,
David Koepp is a director.,SUPPORTS,
David Koepp is a director.,SUPPORTS,
David Koepp is a director.,SUPPORTS,
David Koepp is a director.,SUPPORTS,
David Koepp is a director.,SUPPORTS,
David Koepp is a director.,SUPPORTS,
David Koepp is a director.,SUPPORTS,
David Koepp is a director.,SUPPORTS,
"A block is also called a ""swat.""",SUPPORTS,
Alessia Cara is a French singer.,NOT ENOUGH INFO,
Robert Richardson has collaborated with director John Sayles.,NOT ENOUGH INFO,
Paul Pogba made it to the 2015 UEFA Champions League Final with the Juventus team.,SUPPORTS,
Leroy Jethro Gibbs is a character on the NFL series NCIS.,REFUTES,
Leslie Howard was an actor.,SUPPORTS,
Leslie Howard was an actor.,SUPPORTS,
Catching Fire is written.,SUPPORTS,
Avatar: The Last Airbender aired on Nickelodeon.,SUPPORTS,
Avatar: The Last Airbender aired on Nickelodeon.,SUPPORTS,
Avatar: The Last Airbender aired on Nickelodeon.,SUPPORTS,
Harry Hopman's widow has attended Hopman Cup.,SUPPORTS,
Faith Evans made her first album in Paris.,NOT ENOUGH INFO,
Stephen Rider is a Seventh Day Adventist.,NOT ENOUGH INFO,
Frank Zappa's debut was Freak Out!,SUPPORTS,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
Ruth Negga only acts in Irish cinema.,REFUTES,
George VI was succeeded by Mary I.,REFUTES,
50 Cent was ranked as the third-best rapper of the 90s.,NOT ENOUGH INFO,
Tetris has sold approximately 70 million cars.,NOT ENOUGH INFO,
Kid Rock signed a recording contract with Ryan Gosling.,NOT ENOUGH INFO,
Psychological findings link to research and perspectives from an academic discipline.,SUPPORTS,
Psychological findings link to research and perspectives from an academic discipline.,SUPPORTS,
Future married a Canadian singer.,NOT ENOUGH INFO,
Huntington's disease research is being conducted on non-human animals.,NOT ENOUGH INFO,
Tiger Woods was born on the 14th.,NOT ENOUGH INFO,
The Beach Boys was an American rock band.,SUPPORTS,
The Beach Boys was an American rock band.,SUPPORTS,
Billy Bob Thornton directed a movie.,SUPPORTS,
Billy Bob Thornton directed a movie.,SUPPORTS,
Billy Bob Thornton directed a movie.,SUPPORTS,
"The Ren & Stimpy Show premiered on August 11, 1991.",SUPPORTS,
"The Ren & Stimpy Show premiered on August 11, 1991.",SUPPORTS,
Courteney Cox has always refused to play Gale Weathers.,REFUTES,
Anonymous is not an international group.,NOT ENOUGH INFO,
Ronin is a film.,SUPPORTS,
Abraham Lincoln had at least one rival.,SUPPORTS,
Sally Field was in Wonder Woman.,NOT ENOUGH INFO,
There is a producer named Fred Savage.,SUPPORTS,
Al Capone had neurosyphilis.,SUPPORTS,
Al Capone had neurosyphilis.,SUPPORTS,
Boston is located in the state of Massachusetts on the Shawmut Peninsula.,SUPPORTS,
Boston is located in the state of Massachusetts on the Shawmut Peninsula.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
Interstellar is a narrative in a visual medium.,SUPPORTS,
The Odyssey is a phone book.,NOT ENOUGH INFO,
Choir musical ensemble's usually have a distinct group name.,NOT ENOUGH INFO,
Britney Spears titled her fourth studio album Britney.,REFUTES,
Mike Tyson boxed.,SUPPORTS,
Mike Tyson boxed.,SUPPORTS,
Mike Tyson boxed.,SUPPORTS,
Mike Tyson boxed.,SUPPORTS,
Mike Tyson boxed.,SUPPORTS,
Mike Tyson boxed.,SUPPORTS,
Mike Tyson boxed.,SUPPORTS,
Mike Tyson boxed.,SUPPORTS,
Music is a division of Davis Entertainment.,NOT ENOUGH INFO,
The Hermetic Order of the Golden Dawn was uninterested in the study of the occult.,REFUTES,
Ellen Burstyn has yet to be nominated for the Emmy Awards.,REFUTES,
Princess Agents is a series on television.,SUPPORTS,
Gwen Stefani works as a singer.,SUPPORTS,
Gwen Stefani works as a singer.,SUPPORTS,
James Marsden worked with a director.,SUPPORTS,
James Marsden worked with a director.,SUPPORTS,
James Marsden worked with a director.,SUPPORTS,
James Marsden worked with a director.,SUPPORTS,
Carrie Fisher died of cardiac arrest.,SUPPORTS,
Ice hockey has competitions.,SUPPORTS,
Ice hockey has competitions.,SUPPORTS,
The Fifth Element was the lowest-grossing French film in the international box office until 2011.,REFUTES,
The Hunger Games is the first in Lord of the Rings series.,REFUTES,
"Audi used to have the pet ""Truth in Engineering.""",REFUTES,
Java contains more than half of the population of Indonesia.,SUPPORTS,
Billy Wilder provides guidance.,NOT ENOUGH INFO,
Robert F. Kennedy was shot.,NOT ENOUGH INFO,
Robert F. Kennedy was shot.,NOT ENOUGH INFO,
Robert F. Kennedy was shot.,NOT ENOUGH INFO,
Robert F. Kennedy was shot.,NOT ENOUGH INFO,
Urilla Sutherland Earp was the first spouse of Wyatt Earp.,SUPPORTS,
Brave is a 2010s film.,SUPPORTS,
Brave is a 2010s film.,SUPPORTS,
Winter Passing had mixed reviews in 2005.,SUPPORTS,
Ronald Reagan died at his home.,NOT ENOUGH INFO,
Ronald Reagan died at his home.,NOT ENOUGH INFO,
Ronald Reagan died at his home.,NOT ENOUGH INFO,
Ronald Reagan died at his home.,NOT ENOUGH INFO,
Audrey Horne was introduced in anything except a series that premiered on Sunday.,REFUTES,
Audrey Horne was introduced in anything except a series that premiered on Sunday.,REFUTES,
Line of Duty is a TV series.,SUPPORTS,
Line of Duty is a TV series.,SUPPORTS,
The Dayton Agreement was signed in April.,REFUTES,
The National Security Agency is tasked with the processing of data for counterintelligence purposes.,SUPPORTS,
The National Security Agency is tasked with the processing of data for counterintelligence purposes.,SUPPORTS,
Gold is resistant to all acids except aqua regia.,SUPPORTS,
There is a geologic period that spans 43 million years called Paleogene.,SUPPORTS,
Marilyn Monroe was introduced to the president.,NOT ENOUGH INFO,
Cher has sold more than 100 million music records worldwide.,SUPPORTS,
Bernard Madoff got the sentence.,SUPPORTS,
Donkey is a fast-talking donkey.,SUPPORTS,
O. J. Simpson received a criminal charge for armed robbery.,SUPPORTS,
O. J. Simpson received a criminal charge for armed robbery.,SUPPORTS,
Ketogenic diet has protein.,SUPPORTS,
Ketogenic diet has protein.,SUPPORTS,
Ketogenic diet has protein.,SUPPORTS,
Dennis Quaid refused to ever be an actor.,REFUTES,
Dennis Quaid refused to ever be an actor.,REFUTES,
Dennis Quaid refused to ever be an actor.,REFUTES,
The United States was the first country to develop nuclear weapons.,SUPPORTS,
Thandie Newton is incapable of appearing in British films.,REFUTES,
Reese Witherspoon's breakthrough role was in a film.,SUPPORTS,
Jenni Rivera was only nominated for an award presented annually by American network Univision.,REFUTES,
Jenni Rivera was only nominated for an award presented annually by American network Univision.,REFUTES,
Curly Top was released.,SUPPORTS,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Edgar Allan Poe was a horse.,REFUTES,
Danny DeVito received an Academy Award nomination.,SUPPORTS,
PageRank was named after someone.,SUPPORTS,
Morena Baccarin received a nomination.,SUPPORTS,
National Library of India is the library of information that generally pertains to the actions of government.,NOT ENOUGH INFO,
Jeffrey Dahmer committed murders in Wisconsin.,SUPPORTS,
Naomi Scott played Darth Maul in Lemonade Mouth.,REFUTES,
Keith Urban is Catholic.,NOT ENOUGH INFO,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
The Minnesota Vikings is a National Football League team.,SUPPORTS,
L.A. Law is a television series that categorizes as a legal drama.,SUPPORTS,
Paradise was released in 2012.,SUPPORTS,
Anne Hathaway died in Get Real.,NOT ENOUGH INFO,
Dirt was produced by ABC studios and Coquette Productions.,SUPPORTS,
Arsenic and Old Lace had its release delayed by 3 months.,REFUTES,
The Belko Experiment is an American horror film released in 2016.,SUPPORTS,
Psychology has been disqualified from being a social science.,REFUTES,
Psychology has been disqualified from being a social science.,REFUTES,
Apple was founded in 1979.,REFUTES,
Apple was founded in 1979.,REFUTES,
Apple was founded in 1979.,REFUTES,
Apple was founded in 1979.,REFUTES,
Apple was founded in 1979.,REFUTES,
Apple was founded in 1979.,REFUTES,
Moscow is a city in Russia.,SUPPORTS,
Moscow is a city in Russia.,SUPPORTS,
The term cult film was first used in the 1970s.,SUPPORTS,
The term cult film was first used in the 1970s.,SUPPORTS,
The September 11 attacks caused at least $10 billion in property damage.,SUPPORTS,
The second longest of Shakespeare's plays after Hamlet is Richard III.,SUPPORTS,
"Kathy Bates was born on June 28, 1948.",SUPPORTS,
"Kathy Bates was born on June 28, 1948.",SUPPORTS,
"Kathy Bates was born on June 28, 1948.",SUPPORTS,
"Kathy Bates was born on June 28, 1948.",SUPPORTS,
"Kathy Bates was born on June 28, 1948.",SUPPORTS,
"Kathy Bates was born on June 28, 1948.",SUPPORTS,
Furious 7 filmed in Peru's capital.,NOT ENOUGH INFO,
Joseph Barbera was an American director.,SUPPORTS,
Penny Dreadful started in 2017.,REFUTES,
Penny Dreadful started in 2017.,REFUTES,
Penny Dreadful started in 2017.,REFUTES,
One of Archimedes classes was The Archimedes Palimpsest.,NOT ENOUGH INFO,
There is a video game called Overwatch (video game).,SUPPORTS,
There is a video game called Overwatch (video game).,SUPPORTS,
There is a video game called Overwatch (video game).,SUPPORTS,
There is a video game called Overwatch (video game).,SUPPORTS,
There is a video game called Overwatch (video game).,SUPPORTS,
There is a video game called Overwatch (video game).,SUPPORTS,
There is a video game called Overwatch (video game).,SUPPORTS,
The Lion King was released before 2000.,SUPPORTS,
Before We Go was previously titled Fury.,REFUTES,
Before We Go was previously titled Fury.,REFUTES,
Stevie Nicks released an album that reached platinum status.,SUPPORTS,
Overwatch's playable characters are categorized into four groups.,SUPPORTS,
Overwatch's playable characters are categorized into four groups.,SUPPORTS,
Overwatch's playable characters are categorized into four groups.,SUPPORTS,
Overwatch's playable characters are categorized into four groups.,SUPPORTS,
Overwatch's playable characters are categorized into four groups.,SUPPORTS,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
Andrew Wood died in 1977.,REFUTES,
James McAvoy starred in Children of Dune.,SUPPORTS,
Thandie Newton is an English citizen.,NOT ENOUGH INFO,
Thandie Newton is an English citizen.,NOT ENOUGH INFO,
Thandie Newton is an English citizen.,NOT ENOUGH INFO,
John Constantine is a real person.,REFUTES,
Michael Gambon acted in Twilight.,NOT ENOUGH INFO,
The Portuguese Empire was one of world history's largest empires.,SUPPORTS,
Eddie Vedder is a performer.,SUPPORTS,
Eddie Vedder is a performer.,SUPPORTS,
William Shatner hosted The War Game.,NOT ENOUGH INFO,
"Kenny Rogers released the album, Kenny in 2005.",REFUTES,
"Kenny Rogers released the album, Kenny in 2005.",REFUTES,
"Kenny Rogers released the album, Kenny in 2005.",REFUTES,
